Marker	Ch1
1	132B7
1	E365
1	1CE26
1	29066
1	13A6B
1	1D1E9
1	5E75
1	13E86
1	DA9C
1	1D48C
1	28675
1	146E3
1	1D978
1	5D35
1	14E16
1	D20D
1	1D9C9
1	27D36
1	15530
1	1DD74
1	5D82
1	15B07
1	C8DB
1	1DEF3
1	27502
1	162CC
1	1E1DA
1	5E22
1	16935
1	C131
1	1E3A5
1	26967
1	1700B
1	1E650
1	5FCA
1	1764D
1	B93C
1	1E9B9
1	25ECA
1	18002
1	1EC77
1	61AE
1	18380
1	B0E8
1	1EDBE
1	252A6
1	18D2F
1	1F11B
1	633E
1	19215
1	AA5D
1	1F34A
1	248FC
1	19B35
1	1F462
1	6547
1	1A2B5
1	A193
1	1F710
1	23DA3
1	1AC1A
1	1F91C
1	699B
1	1B243
1	9BE7
1	1FBC2
1	22F4D
1	1BADE
1	1F7A6
1	6CF1
1	1BDD0
1	948F
1	1FC1C
1	22649
1	1C9E2
1	1FA8E
1	700F
1	1CE7A
1	8F6C
1	20090
1	218C0
1	1D88B
1	1FEBF
1	748D
1	1DCC5
1	8A23
1	202B3
1	20DA9
1	1E5DB
1	1FC83
1	7819
1	1E88A
1	84E5
1	202DE
1	1FF60
1	1F0ED
1	1FED8
1	7D64
1	1F7
1	8288
1	207B8
1	1F4AD
1	201DD
1	1FE64
1	82B0
1	1EC68
1	7A9A
1	20296
1	1E55B
1	20D86
1	2000C
1	8891
1	1DE15
1	7606
1	20252
1	1D944
1	21B78
1	20032
1	8EDB
1	1D094
1	7214
1	202D2
1	1CC01
1	22561
1	1FFDE
1	9493
1	1C498
1	7024
1	20577
1	1BE57
1	23360
1	1FF75
1	9C51
1	1B653
1	6CF6
1	203B8
1	1AF0B
1	23E31
1	1FE9A
1	A387
1	1A96C
1	696A
1	1FE57
1	1A066
1	249FD
1	1FC68
1	AA67
1	19B9D
1	6782
1	1FDE1
1	190B1
1	2566A
1	1F9B1
1	B175
1	19077
1	64F9
1	1F727
1	1811B
1	25EA2
1	1F50F
1	B7D0
1	18283
1	63F2
1	1F62C
1	17673
1	26AD9
1	1F354
1	BF4E
1	17864
1	62AD
1	1F0F8
1	16CD9
1	2753B
1	1EED2
1	C78A
1	16B8A
1	6251
1	1EF30
1	162AE
1	2806F
1	1EB08
1	CEB9
1	160A4
1	61DF
1	1E9E7
1	157E2
1	289D7
1	1E6DF
1	D84D
1	15293
1	62C3
1	1E6BF
1	14C61
1	29211
1	1E34E
1	DF84
1	1471F
1	62C1
1	1E0FC
0	680B8
0	1693A
0	A6B96
0	32388
0	68623
0	A699A
0	4FA55
0	325E2
0	166BC
0	A6D89
0	50FB7
0	6972E
0	16540
0	A3739
0	2FC5E
0	67466
0	9BA30
0	4D9B3
0	2D8DD
0	14CFC
0	9BAB8
0	2BC6E
0	639AF
0	151FB
0	51CB2
0	2D585
0	154FC
0	A063E
0	53C53
0	69260
0	157D0
0	564A6
0	2DC47
0	6B8B5
0	A1A7D
0	5790E
0	2D816
0	156A9
0	A2178
0	2C9AA
0	6CE53
0	15825
0	5A67A
0	2CB21
0	15922
0	A0976
0	5AE23
0	6E5B0
0	15CE7
0	5CF38
0	2BF33
0	700F6
0	A045A
0	5D6A6
0	2B356
0	157C5
0	9FAF4
0	2A8F1
0	6FC0A
0	15711
0	5FCB1
0	2A626
0	1596A
0	9E159
0	60C4E
0	70D4F
0	15B19
0	6248A
0	29828
0	71B19
0	9D27A
0	6289B
0	29361
0	15A2F
0	9CE4B
0	28AD3
0	71F9E
0	15864
0	64F5B
0	280CE
0	15B43
0	9B054
0	65DA6
0	72C23
0	15F75
0	677A8
0	27193
0	740FA
0	99382
0	67A76
0	73D9F
0	15CF8
0	98F22
0	25D83
0	73D1A
0	97F17
0	6A18D
0	25F36
0	15FD1
0	96961
0	2557D
0	74458
0	16581
0	6C0AD
0	2482C
0	1649A
0	94972
0	6C7B8
0	74709
0	1627C
0	6E7E6
0	23549
0	749EE
0	9339C
0	6EF04
0	236EE
0	168CC
0	9247D
0	22E22
0	74D68
0	16998
0	70C52
0	22737
0	16BBF
0	8F749
0	70E99
0	74E8F
0	16D7D
0	73450
0	21424
0	75561
0	8DF09
0	73ED0
0	754B0
0	17163
0	8D771
0	20301
0	74EAA
0	8C510
0	75CEA
0	20638
0	1785C
0	8B686
0	201C1
0	75B7B
0	17D1D
0	77E91
0	1F6B1
0	181E0
0	8A02C
0	77DA3
0	75B10
0	17EB6
0	79C08
0	1EB8F
0	75AD1
0	8828F
0	799FD
0	1EF80
0	185AF
0	87F10
0	1E9CE
0	76543
0	189CC
0	7C075
0	1E551
0	18C0F
0	85E39
0	7C855
0	763D4
0	18EC5
0	7E07F
0	1D4E9
0	767BB
0	841D8
0	7E421
0	76D91
0	19A8E
0	83AAF
0	1CFB2
0	768C5
0	825FB
0	80113
0	1CACD
0	1A3D2
0	80EF8
0	1C4D2
0	767B8
0	1A7D5
0	82CDB
0	1BD9B
0	1AF0B
0	7F54F
0	831C6
0	76DA5
0	1AD68
0	84AD8
0	1AC09
0	75E75
0	7D7AE
0	85620
0	1B386
0	1BAA0
0	7C68E
0	1AE4D
0	76702
0	1BC00
0	87586
0	1ABE5
0	1C314
0	7AAA1
0	877B1
0	7681B
0	1C70E
0	895CF
0	19BCA
0	7605D
0	78DAF
0	89906
0	76DEB
0	1D632
0	78022
0	19CD0
0	76284
0	77633
0	8B16C
0	198A7
0	1E206
0	75EE4
0	19506
0	7623B
0	1E19A
0	8D552
0	190F6
0	1EA3B
0	7467F
0	8D25F
0	762B6
0	1ECA0
0	8EE3B
0	18400
0	74FCB
0	72F87
0	8EFA7
0	18B50
0	1F72D
0	71D04
0	18769
0	75943
0	1FCE9
0	91329
0	18670
0	20272
0	70064
0	90894
0	7594F
0	20812
0	92A52
0	17DC6
0	74F82
0	6E706
0	92EA9
0	7561E
0	2150B
0	6D841
0	17C31
0	74C2B
0	6DE14
0	949D3
0	17A18
0	22001
0	6BD41
0	17661
0	74845
0	22538
0	9662D
0	177BA
0	22E05
0	6A089
0	95F84
0	744EE
0	23256
0	978FC
0	170DC
0	73AF8
0	684E6
0	984C3
0	17585
0	2464C
0	6762C
0	1724B
0	73CBF
0	2C000
0	99F0A
0	1718D
0	24F98
0	65E4D
0	98D09
0	7381E
0	25232
0	9AF78
0	16DE7
0	72B56
0	643A8
0	9B233
0	735B7
0	26490
0	63848
0	16D9E
0	72B49
0	634C6
0	9CD48
0	16F6F
0	27070
0	61B0F
0	16A85
0	72577
0	61D35
0	9E077
0	16E2E
0	2782A
0	602FE
0	16A88
0	71F32
0	27CD5
0	9F309
0	16E15
0	289EE
0	5EA3B
0	9E50B
0	7196F
0	28C27
0	A03BC
0	16C72
0	70B82
0	5D27C
0	A028F
0	70F40
0	2976D
0	5C384
0	16D2B
0	70722
0	5BE06
0	A1959
0	16D1C
0	2A6C6
0	5AABB
0	2
0	704D7
0	2ABE8
0	A2CC7
0	16BE7
0	6EF0C
0	59435
0	A2BFB
0	6FB25
0	2B9B1
0	588CA
0	16CC7
1	96B0C
1	4066F
1	31392
1	156CF
1	96649
1	3039D
1	5B26F
1	15562
1	40BC2
1	30A6C
1	1559F
1	9607B
1	30398
1	5B802
1	15297
1	41B55
1	30018
1	15418
1	9576A
1	42013
1	5BAB6
1	150CF
1	42CAD
1	2FA97
1	15005
1	94E59
