Marker	Ch1	Ch2	Ch3	Ch4	Ch5	Ch6	Ch7	Ch8
1	9CD93	7BA33	73A82	93392	1D5B8	18699	DE7B	E27D
1	415F1	33269	2F647	3D448	BC33	9C5B	58BE	5AE2
1	27E22	37F21	3A46F	2BA73	285BD	26E8D	22F05	229FD
1	56FA3	7BF67	81F9D	5F643	575A4	53E59	4B146	4A164
1	CA56	D002	D1A0	C958	6087	598B	4796	468D
1	9CEC8	7B9F4	73DFA	9346F	1D672	18702	DF1F	E2F6
1	438F1	34D1B	3103E	3F50E	C255	A1A0	5BEF	5E1D
1	271C2	36B5F	3918D	2AC34	27829	2624A	22371	21E6B
1	57E93	7D12A	8360B	605F9	58397	54CEA	4BD05	4AD0C
1	C542	CF95	D21D	C58B	6408	5D2B	70000	26BF
1	4522D	36320	324AD	40D6A	C8A3	A6E5	5ED2	60CD
1	26046	35635	37A93	299F4	266DB	25121	21369	20F04
1	5881B	7E33E	84691	6115A	58D3E	555B4	4C43B	4B4FC
1	C106	CF5E	D262	C245	6693	5FF0	4E3E	4D20
1	9993D	795C6	719BF	903E2	1CD75	17FD2	DA92	DE97
1	470B9	37B39	33A57	429DB	CD7C	AABC	6122	6360
1	2507D	33EBA	36112	28894	257CA	24253	20710	20292
1	59617	7F554	85783	620BC	59D1E	56444	4D32B	4C306
1	C10F	D366	D77A	C349	6C58	6570	5357	5215
1	994E1	792AE	71C3B	8FFD3	1D262	183D7	DCD6	E103
1	4918B	394C3	35407	448BB	D477	B0B5	64A1	6700
1	24D68	337A6	35940	2843C	25384	23ED7	203C2	1FF3A
1	5B00D	8161F	87922	63C05	5B5BF	57CD1	4E869	4D80D
1	BCF6	D337	D7E7	C03A	6F43	689D	56E9	557F
1	96F85	770F7	6FA0A	8DB61	1C4C0	178D0	D66B	D989
1	4ABD3	3A7F8	36500	460EA	D7D4	B37A	6627	6823
1	23092	31052	330FD	26526	236BE	222F7	1EA6A	1E694
1	5AC01	810A7	8742C	637C3	5B1B6	57917	4E4A8	4D533
1	BB24	D5E5	DB41	BF7B	7412	6D79	5BA0	5A1D
1	95628	7600E	6E89F	8C47B	1C1EF	1763C	D4E8	D7A3
1	4CDF0	3C432	37E8E	48126	DEEA	B931	6983	6B89
1	224A3	2FE85	31D3E	25852	22B47	217AF	1E0FB	1DCFD
1	5BA28	824A7	886C2	64835	5C14B	5875F	4F30D	4E299
1	B8CD	D83E	DE8D	BE50	7949	7284	6099	5EFE
1	93302	743A9	6D188	8A37A	1C0EB	1750E	D486	D831
1	4EF0B	3DDD2	397FE	4A069	E63B	BF61	6D3C	6F8D
1	20A1B	2D9A5	2F8C0	23AD4	21003	1FDD4	1C930	1C559
1	5B197	816FB	87CBF	63DE9	5B945	58066	4EBE5	4DB97
1	B817	DB48	E26E	BE98	7DD2	7726	6514	6363
1	91A47	73147	6BEE4	88C6E	1B9CE	17014	D125	D42F
1	50D69	3F5C9	3AD6D	4BCDB	EB0F	C36C	6F70	7171
1	202C3	2CF14	2ECB2	232D6	20886	1F68D	1C297	1BF33
1	5CA23	839AE	89E5C	65893	5D085	596ED	4FFA7	4EFE2
1	B9C9	E171	E948	C14F	83FF	7D48	6AED	6938
1	904F9	71E5F	6ADCC	878A9	1B4AA	16B31	CE66	D23B
1	530D8	410FD	3C6C1	4DE1B	F16C	C88D	726D	74D7
1	1F535	2BCF5	2D8E4	22447	1FB56	1E9D5	1B7A0	1B428
1	5D592	84D2A	8B0DC	665EF	5DD4F	5A330	50B73	4FAC3
1	BC53	E884	F123	C4E1	8A99	83B4	70E8	6EFA
1	5525C	42AB3	3DFEB	4FCED	F78D	CDFE	7584	77FA
1	1EB14	2AB99	2C809	2187C	1F023	1DF7F	1ADF9	1AA7F
1	5E2BB	8594A	8C113	67326	5E8F6	5AF2B	51561	5049D
1	BC7D	ECD4	F661	C61F	8FF7	8910	760D	740D
1	8CDBE	6F5A5	68854	844E1	1AA6A	16374	C9BD	CCAD
1	570CB	4447C	3F76A	51A45	FD77	D2D5	7860	7A70
1	1D5E0	290B6	2ABA5	201EC	1DB23	1CACE	19B1B	19829
1	5E1F5	85D35	8C38E	6732D	5E8C4	5AE48	51447	5044C
1	C005	F4D9	FF09	CAAB	9739	9027	7C93	7A7D
1	8BA02	6E6D2	67B6D	83345	1AA9D	16351	C9DB	CC91
1	5938E	45FE4	410E4	53B28	104F6	D8E9	7BFB	7E1C
1	1CA64	27E47	29782	1F50C	1CFE4	1C01F	19276	18F78
1	5EB54	86656	8CAC1	67D5F	5F3A1	5B916	5200B	50F46
1	C115	FA0F	104DF	CCCE	9D54	9621	8277	8037
1	88C78	6BFC5	656EF	80710	1A116	15B25	C556	C8BB
1	5B1D8	4762C	4260C	5572C	109FF	DD69	7E9F	810E
1	1BAEF	269A8	283A1	1E41E	1BF20	1B01A	1832A	18036
1	5ECA5	869AF	8D2F3	67ECE	5F2E5	5B873	51D84	50CDD
1	C3BA	1007C	10C4C	D064	A2EE	9BA6	87A4	8555
1	87321	6AA42	640DE	7EE3F	19608	15244	BFF9	C2AA
1	5D36E	48F4F	43C27	575DB	10DF8	E075	8058	826E
1	1A7D8	25055	268CB	1CF94	1AC35	19D88	17272	16FFA
1	5E61F	86514	8CCD9	67863	5ED80	5B2AF	51884	508AF
1	C5AE	1070A	1138E	D355	A922	A1B7	8D63	8B10
1	83F7F	681C4	61C9A	7BEA6	18EBA	14B7A	BC12	BF7D
1	5EB79	4A2C0	44EDE	58CE8	11380	E4BD	82C3	854B
1	19D15	24170	25893	1C3F7	1A170	19334	1694C	166BB
1	5ED41	87033	8D65F	680DF	5F5B3	5BB09	52081	50FB8
1	CB63	11086	11D85	D9EF	B068	A8D2	93EC	915D
1	83ED1	68100	61C96	7BD0D	18BE5	14937	BAA0	BDD8
1	610CC	4BEFF	469B5	5AF53	11810	E8DF	850F	8797
1	18E26	22D25	243E0	1B35D	1914C	183EE	15B20	1588E
1	5EF6A	873F6	8DC4C	682AA	5F65D	5BC36	C00000	D094
1	821F4	66CDE	6082A	7A31A	18806	14696	B918	BBC2
1	631D0	4D9D7	48198	5CEC8	11EE7	EEA0	8869	8A91
1	18A23	224AA	23AFD	1AE8A	18D13	17FBD	157D1	155C4
1	602E7	88A91	8F3C3	69736	60A26	5CED5	53223	52250
1	D5CE	1238E	1322E	E65D	C06C	B858	A21A	9F6F
1	7FF02	65422	5EF8C	78314	183C8	14298	B6B0	B90D
1	65403	4F63D	49ADB	5EF0B	12614	F41C	8B92	8DBE
1	17339	20685	21B20	1961B	175E2	168E0	14338	14116
1	5EE8E	872D1	8D8ED	68291	5F705	5BB18	52160	510AB
1	DA65	12C1A	13B2E	EBE8	C775	BF0A	A873	A596
1	7E114	63A99	5DAC6	76655	1805C	13F64	B4FE	B866
1	6720D	50CBB	4B1EE	60AFB	12C5F	F970	8EC4	9183
1	16C5F	1FA69	20EA2	18DA1	16DB3	1619C	13C6F	13A4F
1	5FB87	87FE9	8E859	68EBA	60299	5C7E6	52BCF	51AD3
1	E00F	135EE	1461E	F28F	CF9F	C714	AFB7	ACBA
1	7B9E7	61AA2	5BAC8	74107	1765F	13845	B0B5	B353
1	69320	525FB	4C7F8	629BA	13100	FDB2	9114	9356
1	15E8D	1E80A	1FBEA	17EED	15F50	1536B	12F74	12DD1
1	5FA67	881C3	8EB80	68EAF	601FC	5C6AE	52A27	51A89
1	E6E4	14156	15243	FA67	D849	CF7A	B765	B477
1	7939F	5FB81	59C27	71CBD	16C96	12F1F	AB69	AEA2
1	6ADB3	53A5B	4D9F0	6422C	13519	10070	92A7	9548
1	153DC	1D7FE	1EA35	17304	1540B	14860	12605	12459
1	5FC92	8840E	8EA0E	690D9	78000	1DC	E8029A	7002BC
1	783FA	5F10D	59699	70F01	16EF0	13103	AC86	AFE1
1	6D42B	558AD	4F8EC	666AB	13DB0	107C8	96E2	99CB
1	14DC0	1CD89	1DF5E	16BAA	14C64	14175	11F78	11DC0
1	60883	891EF	8FA36	69CC7	60FD2	5D4BF	53779	52673
1	F5FD	15935	16B91	10B86	EA9A	E122	C771	C40F
1	762EF	5D71E	57D0A	6F066	165E3	12A3F	A8C9	AB6A
1	6F837	5755A	51307	688FA	1435D	10CE1	99F8	9C5A
1	13CD5	1B63D	1C78A	15950	13A8B	12FF8	10F6A	10E1A
1	5FB71	8820C	8EB5A	68F23	603D6	5C8C1	52C28	51C66
1	FDE3	165A7	178DD	11467	F3F3	EA39	CFA9	CC5D
1	74226	5BEE5	5655F	6D19E	1606D	12568	A599	A8E1
1	71642	58DD7	528E9	6A4CC	14929	11135	9C36	9EF8
1	13492	1A93A	1B905	15000	13150	126E3	1079C	10683
1	603E6	88C51	8F256	69812	60CCD	5D0D3	5349F	52555
1	107D3	174C0	18857	11F70	FF51	F51F	D98C	D62A
1	71AF1	59F33	54A39	6AC7E	15E1F	12363	A48A	A827
1	73548	5A4EF	5403C	6C1A5	15151	11847	A047	A3A6
1	13056	1A0F3	1B05C	14A79	12B02	12153	10278	10124
1	611A5	89D0D	9056C	6A564	6193F	5DE87	54084	52F80
1	6FCB8	5868A	53166	68FFA	1538E	11B20	A01C	A28B
1	75EE9	5C4CD	55C97	6E88E	15665	11CCC	A337	A59C
1	12325	18DD3	19C98	13C2B	11C22	1129D	F4DF	F3F3
1	6054E	88C82	8F52B	6990C	60D0A	5D1F5	53459	524F2
1	1195C	18F61	1A4F3	1330B	112D0	10803	EA7D	E6DA
1	6DA0B	56E74	519E7	67085	14EE1	116D9	9D36	9F6A
1	77C84	5DE54	57366	704D5	15CBE	12189	A5A3	A80D
1	11CA3	183BA	19137	134FB	1142C	10ABA	EDDE	ECE3
1	60BB5	896C0	8FC7B	6A0F9	614A2	5D898	53BBC	52B53
1	123B5	19ED7	1B4B7	13E92	11E10	112C7	F487	F08A
1	6BCD2	554BD	504CC	65418	1491D	111BD	9AAA	9D9D
1	7A111	5F8D2	58EC7	7268A	16255	1264C	A8A6	ABB0
1	10D9B	16E98	17B87	1240F	10267	F9CD	DE3E	DD3F
1	5F892	87F17	8E6CD	68B64	5FFBC	5C58B	529A5	518A2
1	12D18	1ACE1	1C427	148FD	1282A	11C97	FD47	F90F
1	69E9D	53D50	4EDEF	63804	14204	10CA2	9794	9A00
1	7C0FE	611B4	5A556	74486	16750	12AF2	AB2E	ADB6
1	10AA7	167EA	17456	1207B	FDAA	F516	D9EC	D939
1	606DD	8902C	8F858	69B61	60F0A	5D3FD	5366D	526A0
1	138F6	1BE00	1D604	1561D	134BA	128B4	10813	103F9
1	7DA88	627B8	5B86E	75CB8	16EF7	130C5	AE6C	B174
1	10717	15F60	16A6B	11BE7	F7EA	EF63	D51B	D4AB
1	610FC	89A25	8FF87	6A610	61A39	5DE21	540A9	531D8
1	1452D	1CFF6	1E883	1639E	14174	134C6	112F1	10ED7
1	65458	502CC	4B7E3	5F25B	135D3	101C2	913A	9461
1	8007C	6432D	5D437	77FF0	1742D	13527	B0E9	B480
1	FEB6	15238	15CB8	11227	EC43	E460	CAB2	CA16
1	608A3	88FB5	8F6D7	69C90	610B0	5D641	538B7	52848
1	14F6F	1DEDD	1F8C4	16EF6	14C46	13F55	11C6A	117E0
1	63104	4E862	49EB7	5D1B7	12FC5	FD6E	8EE6	9141
1	818EC	6575D	5E6FB	79741	178B6	13951	B374	B628
1	F99A	14831	1520A	10C0B	E4D3	DD0A	C425	C3D0
1	60A23	88D87	8F446	69DFD	6139F	5D8C5	53B95	52C70
1	15B0E	1EF17	2099F	17BAA	1584F	14AEE	126E1	12279
1	61885	4D728	48D81	5BB3C	12C99	FA97	8D00	8F14
1	83F66	67731	60327	7BB6E	180AB	13F6E	B6C2	B960
1	F11C	13B03	14399	10264	D94C	D193	B9B4	B986
1	601FB	8859C	8E996	695C0	60BA0	5CFE7	53434	5256C
1	1684C	20272	21D73	18A34	165AE	1579C	13262	12DDD
1	5E9C1	4AE09	4687D	58DF2	12210	F13D	87C4	8ABE
1	85816	6869B	613A0	7D186	1842C	14245	B875	BC2D
1	ED73	132E1	13AE3	FD67	D1A0	CA6B	E5982	5958
1	17454	213C8	23042	1976E	171FD	1638D	13D05	13812
1	5CE0D	49D2D	458FE	575A2	11FAF	F004	8706	895C
1	872FE	6A024	62C1E	7EC3F	18AE1	1483C	BBC9	BEA6
1	E962	12A3D	131B3	F871	CA7F	C350	AC7B	AC64
1	60388	8847A	8EA93	696A1	60C6B	5D191	5355F	5263B
1	181DF	226FE	24467	1A647	17F82	17085	14892	143B3
1	5AEC4	48592	44125	5585B	11872	E9AD	8369	8540
1	89C22	6C20A	6493B	812E2	191E0	14D8A	BEF3	C197
1	E27C	11E79	12499	F05D	BF38	B816	A21A	A203
1	5F4D9	8747F	8D7A0	687F8	5FF0B	5C3D6	529C6	519EF
0	197CC	14BF7	13C61	18141	573E	4A52	2C0C	2C32
0	AA2B6	85DAD	7D32B	9FB81	1F91A	1A41A	F04F	F371
0	240B3	1C44A	1A34B	21CFB	6A6E	596D	339B	353F
0	3D72E	56839	5A538	433D8	3E03D	3BC1F	35941	350C5
0	449D7	61E7E	66E4E	4B281	44A00	41EC5	3ADD5	3A174
0	18D9D	145F3	136EA	17830	574A	4A8C	2C76	2C8E
0	AA78B	8670F	7DB36	A014B	1FD37	1A73C	F1AD	F4B2
0	25263	1D2C0	1B069	22DA6	6DBB	5C02	350B	36AF
0	3DA5C	568F4	5A3B6	43741	3E475	3C031	35D48	35483
0	460CA	63D29	68C66	4CBBE	461FC	435C8	3C29D	3B591
0	17DAD	138E8	12B57	168FD	54FF	48B9	2BD8	2C22
0	A991A	8565E	7CEF8	9F207	1F9FB	1A492	F010	F446
0	2623A	1DDDE	1BB36	23C28	6F75	5D67	355F	3740
0	3B5F2	53A4C	57430	40F62	3BE46	39C07	33C40	3338F
0	4654B	64603	696CA	4D0DB	46618	43A0A	3C629	3B8D9
0	16F75	12E27	1210A	15BBA	5343	479E	2BB3	2BD3
0	A956A	851C7	7C8B7	9EE34	1F8A4	1A453	EFEB	F399
0	2772C	1EDD2	1C9BB	24FBF	72EB	605E	3702	38C9
0	3B304	531AF	56C60	40B83	3BB88	39965	33AAF	332FA
0	47AD3	662F4	6B6BA	4E833	47BA0	44EA6	3D8DB	3CC45
0	1616C	12425	117A9	14ED6	51A7	4669	2B71	2B68
0	A8279	844D9	7BB8B	9DCEA	1F622	1A1AC	EE5A	F16B
0	2856A	1F932	1D415	25D12	7557	620F	37BC	396A
0	3959C	50E5D	546C6	3ECE2	39EDF	37CE0	3203D	31871
0	48045	66EEC	6C1E3	4EF14	481AD	453F9	3DD2D	3D035
0	15A58	11FEC	11448	148AB	51DE	46B3	2C07	2C3C
0	A8AC2	84CC9	7C4B3	9E5E2	1F8D7	1A377	EF23	F378
0	297B5	20777	1E173	26E47	7888	649A	3920	3B04
0	3927A	505DD	53C40	3E8F1	39C43	37A2A	31F24	31708
0	4948B	6897E	6DC53	50515	4969F	46799	3F015	3E24A
0	14EE8	11775	10CB2	13DDB	5077	459B	2C14	2C18
0	A8706	84800	7C194	9E0EE	1F5BF	1A0C6	EE6B	F25B
0	2AB13	21622	1EF65	2803C	7B02	66B7	3A40	3C2B
0	37753	4DDCE	515B6	3CA42	37F51	35F6C	306A1	2FE6C
0	49D9B	693EC	6EB04	50E4C	49EFF	4709D	3F7C1	3E9A2
0	1425C	10F18	104F6	1328A	501F	45C8	2CCF	2CB0
0	A77A3	83E49	7B740	9D3BF	1F592	1A198	EEE1	F20B
0	2BCEC	22450	1FC55	2912F	7E6D	699C	3BD9	3D8C
0	36E05	4D0ED	506DC	3BFD8	37630	35644	2FE9B	2F754
0	4B2BE	6B1CF	70882	524CF	4B3D7	4846E	40973	3FC09
0	13977	10A0D	10055	12AB5	502F	461A	2D9F	2D65
0	A7496	8401B	7B71D	9D22A	1F6D0	1A23E	EF4D	F216
0	2D07C	23452	20AA3	2A3A7	82A6	6CE3	3DD1	3F75
0	36BA3	4CDD5	501FD	3BD80	3747D	35458	2FCC0	2F561
0	4C6FD	6D0E2	72739	53B65	4C8BE	4981E	41A91	40CA8
0	133C1	1061D	FD42	12594	5014	4624	2E25	2E19
0	A80F5	845AF	7BEE3	9DD85	1F63E	1A170	EE72	F2A7
0	2E59A	2440D	219C0	2B765	859F	6F50	3EF7	40F0
0	35786	4B3E5	4E677	3A852	361A4	34197	2EB99	2E41F
0	4CE17	6DD66	7341D	54426	4D21D	4A055	421E5	41378
0	1265F	FC02	F3FA	118EC	4E26	448F	2DE2	2DA6
0	A6869	82F8B	7AAF7	9C4B8	1EE80	19A7C	EA8C	EE3F
0	2F695	25100	22645	2C720	8829	7173	401E	420D
0	34A2B	49D08	4D138	3983B	351D1	3337A	2DE96	2D757
0	4DC71	6EDB5	7489D	55297	4DE46	4AD13	42CC8	41EAD
0	11F8C	C00000	A641A	82EE5	7A941	9C16E	1F20D	19E71
0	3081C	25EFF	232E1	2D7AC	8BE0	7492	41EA	43C0
0	3477B	495B2	4C807	394BB	34FB9	331C1	2DE4C	2D7BF
0	4EF6A	70671	76081	566F4	4F1D5	4C05A	43F11	4315F
0	11553	F1C5	EAC0	109A5	4F11	4624	3016	2FAD
0	A5651	824B5	79DBB	9B3FF	1EEFC	19B90	EB2E	EE06
0	31BD3	26E61	2407A	2E9D4	8EFF	76E7	4335	44F0
0	32457	46A58	49A83	36F80	32CA9	30F19	2BEBD	2B7FC
0	4EF44	70A07	76332	5674D	4F1C1	4BF7E	43E4B	42FD8
0	10BB8	EB03	E51B	100E8	4E77	45D1	30B5	305F
0	A45A3	8145D	79204	9A4C1	1E966	19689	E87C	EC50
0	32EC3	27CE9	24EEF	2FBDD	924E	79B9	44D7	46D6
0	31CDE	461B6	49071	3684A	32667	30899	2B890	2B1A4
0	50009	72520	77EB6	57B4E	504E3	4D106	44DA5	43E94
0	103B1	E6E5	E183	F9E6	5027	47AD	3288	3222
0	A38F7	80E13	78AEA	999A8	1ED94	19B4E	EB1D	EEE6
0	3420B	28C87	25D40	30E2B	96DB	7DCD	472B	4921
0	31346	44D5A	47D2F	35C1F	31AC2	2FE9E	2AFEA	2A923
0	50FE9	734EF	79242	58B1B	5129B	4DF84	45AB4	44BD3
0	F9F6	E028	DB5C	F0E3	4EF1	46EF	32E8	3256
0	A289C	7FD4A	7793C	988BF	1E384	1924C	E61D	E8E2
0	357EB	29CF5	26BF0	3225D	9991	7FC2	4857	4A13
0	2FDBF	43173	45F66	344F5	3053F	2E981	29CB2	296AE
0	5174E	740B1	79CE7	59319	519A9	4E637	46090	45241
0	FA9C	E3DA	DF77	F24D	52D6	4A94	35C8	353A
0	A40DB	818F2	793E9	9A1A0	1EEFA	19BA2	EB26	EE18
0	36EE1	2B05D	27DE3	33817	9E6B	839E	4A8C	4C4D
0	2F732	42756	45398	33DCF	2FF7F	2E3C0	29807	29280
0	526DF	756ED	7B245	5A484	52ABF	4F636	46F67	46196
0	28	AB4420	C441E	AF426	2E6007	A23006	577403	9E8003
0	3835F	2BF22	28C7E	34B05	A1B1	866E	4C0C	4E5A
0	2DF09	40795	433F9	3231F	2E602	2CB7E	281DC	27BCC
0	52E01	762E4	7C19E	5AC2B	53149	4FC9F	474DF	465C0
0	E8E8	D8DE	D639	E264	5337	4B95	3841	379D
0	A125A	7EF21	76F81	974E7	1E1BC	19144	E523	E8CF
0	3971B	2CEF1	29B75	35DD7	A53A	89A7	4DED	4FF4
0	2DA26	3FB90	42746	31DA4	2E147	2C780	27EA8	27951
0	53E33	77464	7D3AE	5BE1B	5419F	50D27	483E2	4759A
0	E2A3	D5C6	D39B	DCF7	545C	4CEC	39D8	391F
0	A083A	7E8A0	767A4	96B7A	1E155	1909A	E4AB	E791
0	3AE0B	2E153	2ABE2	3733D	A9B2	8D15	4FF2	51B6
0	2C41D	3E003	409A2	3061F	2CB8A	2B21D	26AE6	26571
0	54532	781C0	7DF7E	5C5E7	548F6	51409	4898E	47AB6
0	DC65	D30D	D1D1	D7AA	55FD	4EAD	3BED	3B41
0	9FCCE	7DEA4	760EE	96180	1DF75	18E9B	E361	E763
0	3C8D4	2F61A	2BFA7	38C96	AEB6	913F	5250	5470
0	2B42E	3CA76	3F2E9	2F4FF	2BC3B	2A367	25E13	2586D
0	5520B	794D6	7F35D	5D484	55747	521E1	49677	486C1
0	DB45	D518	D486	D73B	5981	5221	3F26	3E5D
0	A0065	7E2B4	7663E	963FA	1E196	190DF	E46D	E869
0	3DF0E	30754	2D056	3A11B	B284	94B2	5439	565F
0	2A9FC	3B8E7	3E222	2E8A5	2B0A8	298FF	254AF	24F12
0	55C0B	79EBD	8005D	5DE1E	56035	52B37	49EAC	48EE7
0	D227	CF9C	CF9A	CF1E	5A2B	5317	40AA	3FC1
0	9E022	7C950	74B6D	94600	1DCB4	18D3A	E29F	E5BD
0	3F6BB	319F5	2E0AF	3B771	B741	989D	569F	5876
0	28AD3	392D7	3BA47	2C7ED	291BA	27A4E	23878	233AB
0	5545A	79A67	7FB1A	5D730	558FB	52327	4970B	48862
0	CE42	CED6	CF47	CBFE	5C1B	5524	42EA	41F5
0	9D110	7BD99	73F19	937B8	1DA24	18A83	E11C	E3FE
0	40A9E	329FF	2EF2D	3CA0E	BB6D	9BBA	5882	5A58
0	28D60	393B2	3B9F3	2CA4D	2947C	27CEE	23B3A	2365C
0	56C08	7B9BF	819B0	5FE00	6	5A6006	780806	823006
0	9C774	7B869	73EC0	9307B	1DAFC	18AEB	E0C8	E501
0	42034	33B60	30096	3DECB	BF71	9F13	5A3B	5C7E
0	27DBB	37DF6	3A2CE	2B983	285AA	26E4C	22EA3	22994
0	5757F	7C6D5	826ED	5FB96	57C50	54446	4B621	4A609
0	C510	CBE7	CDC2	C459	5FC2	5922	47B1	468B
0	9A3EA	79428	719E1	90B8C	1CBDB	17F62	DADE	DE48
0	433E5	3484B	30BE0	3F056	C17C	A13D	5BB2	5DD5
0	26A32	36143	386C9	2A374	2703D	25A60	21C33	21732
0	57619	7C443	8276C	5FB2A	57A66	54389	4B4BA	4A4B2
0	C53B	CF11	D181	C550	6372	5CA1	4AC2	499C
0	9ABC6	7A1DA	727F8	91542	1D26A	18459	DD76	E0A5
0	44DAC	35E90	320F8	40924	C759	A5DD	5E62	6052
0	26129	35327	37716	2994F	26764	251CE	2150A	210C3
0	5846F	7D74F	8398A	60A55	588C5	5516B	4C1BC	4B2BE
0	C414	D10A	D3ED	C4E8	6658	5FA1	4DCA	4C97
0	9A982	7A0D3	725B3	91351	1CFBF	181E0	DBF9	DEE4
0	4691D	374A0	334EC	422D5	CC41	A9B6	60A6	6298
0	251B4	34009	362B2	28916	25866	2430A	20772	20322
0	5894D	7E300	844CB	610A6	58EA2	556A5	4C604	4B689
0	BED3	CF77	D32E	C08E	690B	625C	50AB	4F73
0	98277	77F81	70859	8EEF3	1CC7D	17EF7	DA53	DE4A
0	47CDD	383DE	343B1	435C2	D0F1	ADBD	62F6	654D
0	24B74	336BF	3586C	28282	25226	23D81	202A1	1FE1C
0	5994F	7F93F	85B89	62314	59F90	56771	4D565	4C50F
0	BF20	D2AC	D709	C19A	6CE8	6612	543A	52E0
0	9808D	77DC3	707E1	8EC4A	1CB10	17D6D	D93C	DCFB
0	49467	3957A	354B0	44B6A	D40B	B047	644F	6695
0	24034	323DD	3463A	2753A	245FF	231E4	1F82A	1F3CB
0	5A3D3	801B7	86751	62CF3	5A8C3	57077	4DD6A	4CD52
0	BC9C	D361	D858	BFE9	7010	696F	5798	5630
0	96684	76989	6F2CE	8D37E	1C5F1	17A67	D762	DA7D
0	4AB3F	3A785	3647D	460B8	D86D	B413	668B	6889
0	22F77	310FE	3324D	263D5	23565	2217E	1E8E4	1E501
0	5A57E	80B5A	87030	63000	5AAAB	571DF	4DDFD	4CE86
0	9	549C07	5AA406	E28808	C23801	C07A01	74EF00	D47200
0	4C483	3BB02	37574	47816	DCB8	B740	6886	6AC3
0	227A6	304EC	324D2	25B46	22DE1	21A31	1E297	1DF16
0	5B045	819EA	87D64	63BD6	5B61C	57CCA	4E816	4D94A
0	B9F6	D70E	DD12	BEBF	7632	6F93	5DCE	5C67
0	947FC	74F99	6DCD8	8B64A	1BCD2	1718C	D208	D672
0	4E07C	3D085	38B73	4925A	E129	BB09	6A76	6D2B
0	21765	2EF12	30D7A	24A18	21E63	20AE5	1D4CD	1D0DE
0	5B0BB	81BEA	87E88	63DC7	5B92A	57EDE	4EA28	4D9C8
0	B7B4	D81E	DEB1	BD5F	797B	72EA	6150	5FA4
0	92331	7327F	6C0BA	893CC	1B44E	16B4B	CEBE	D20D
0	4F3B9	3E017	39A11	4A4C3	E4CE	BE6A	6C84	6EC5
0	20252	2D06A	2EF0D	23265	207CE	1F5B2	1C172	1BE20
0	5AF0D	815D0	87B5D	63A9E	5B511	57C02	4E740	4D7F0
0	B898	DCB6	E408	BF39	7EDF	7834	6627	6477
0	90EFD	726AD	6B44E	881D7	1B57C	16C32	CEEC	D1E8
0	50BFB	3F3C8	3AB2C	4BB89	EA1A	C289	6EE3	70F1
0	1FE78	2C9C2	2E777	22DCC	2040A	1F220	1BED0	1BB72
0	5C38A	83279	897ED	65047	5C935	58F9D	4F95F	4E9A1
0	B958	E131	E926	C0CA	8387	7CD2	6A8C	68D6
0	8FCAA	715A7	6A543	870CA	1B129	1680B	CC90	D05C
0	52A1D	40AB3	3C0C5	4D7C7	EFAA	C6F0	7171	73D8
0	1F688	2BF3C	2DBC7	22571	1FC51	1EA6A	1B819	1B4AA
0	5CFCF	844FF	8A96D	65E65	5D65E	59B99	50506	4F4B0
0	BA93	E5AE	EE24	C2C4	8826	814F	6EFA	6D1D
0	8ED0B	709D8	69B90	860F1	1AC67	163EB	CAA0	CE46
0	545DF	42083	3D5D5	4F160	F416	CAD3	73F2	766E
0	1EA2D	2AA72	2C765	21713	1EEE3	1DE3C	1AD13	1A98B
0	5D2AE	84275	8AAA5	66034	5D7D8	59E79	5070B	4F617
0	BBEE	EA18	F367	C4F2	8D0D	86C0	8	DBC706
0	55D58	43395	3E7CA	50808	F96B	CF95	7670	78A6
0	1D9FE	2976B	2B38C	20620	1DEF1	1CE7A	19E4B	19B6B
0	5C98C	83D71	8A550	657CF	5CFE8	5961E	4FE85	4EF08
0	BB5D	EC6B	F626	C50D	8FBF	88D4	75EB	73EF
0	8C41F	6EB69	67D49	83BA4	1A74C	16074	C7BB	CA92
0	5722F	443DE	3F5AE	51B79	FC52	D1A2	7777	797F
0	1CE46	2876A	2A24C	1F974	1D34D	1C317	1942C	19142
0	5D42F	84BBE	8B219	6633A	5DA6B	5A027	507D8	4F7F7
0	BD7E	F221	FC52	C800	9595	8EA1	7B8A	7980
0	8A16D	6CDCE	661CB	81AD9	19EEA	158E5	C3DD	C75E
0	58B0C	456A9	40717	532B3	100DA	D536	79BE	7C2A
0	1CCA9	28328	29CCD	1F795	1D1FD	1C1CD	193C9	190CC
0	5E96A	8670C	8CC04	67ABC	5F107	5B590	51CDC	50C3E
0	C044	F855	10304	CB99	9B7E	9446	80EB	7EB3
0	89040	6BFAB	656AB	80999	19D28	15728	C31A	C67B
0	5A970	46DD9	41E18	54EB4	106A2	DA28	7CBB	7F39
0	1BFA1	26EF3	2891F	1E896	1C3D7	1B4CC	187C4	184B5
0	5EB42	86532	8CE6A	67B39	5F15F	5B745	51D66	50C48
0	C312	FE75	10A14	CF3B	A0F2	99AA	85CD	8378
0	8797C	6AFE7	64732	7F556	1979E	15370	C0AB	C3A8
0	5C01A	48040	42EDB	56460	10A41	DD78	7E88	80C6
0	1AB14	25502	26DE4	1D2AF	1AF5A	1A090	174F3	17285
0	5E22F	85E7C	8C68F	67231	5E8E5	5AE28	513FC	5046C
0	C780	106C3	112E6	D47E	A753	9FDB	8B5D	8919
0	87600	6B0CF	646C0	7F302	197CE	1535F	C063	C325
