Marker	Ch1
0	56569
0	DBB01
0	102A21
0	139DDA
0	5990A
0	D51F9
0	67580
0	13C619
0	5C0C2
0	108FA6
0	608E0
0	13937E
0	C973C
0	10F0A2
0	137FB6
0	64EC5
0	C34D4
0	5DE10
0	138E62
0	6861B
0	117004
0	5A248
0	13658F
0	B825D
0	11E435
0	1340AF
0	72FA2
0	B1F7B
0	57093
0	132899
0	7623E
0	12465F
0	569D3
0	133425
0	A5E64
0	129884
0	53A4F
0	812D2
0	A0428
0	12CA90
0	12B820
0	85BA0
0	12F495
0	543F8
0	12BCC7
0	94D21
0	132E82
0	51B6F
0	8FD8F
0	90010
0	138540
0	122D74
0	943CE
0	138F70
0	555C4
0	1249ED
0	83326
0	13B5C6
0	539B1
0	9E9B7
0	8030D
0	13F2E8
0	1193E0
0	A4174
0	1423E8
0	58956
0	11AC65
0	734F3
0	1419A8
0	570AA
0	AEF31
0	7125E
0	1468D9
0	10E1EB
0	B4729
0	146AE7
0	5BC20
0	10D2D9
0	661B7
0	14619F
0	5CA01
0	BF052
0	648F1
0	148E88
0	101976
0	C5599
0	14A18A
0	62E79
0	101AEC
0	59B94
0	147B1C
0	64B16
0	CF727
0	5989D
0	14A1CB
0	F3D96
0	D481A
0	14A42A
0	6A822
0	EFDF8
0	513BF
0	147927
0	6E479
0	DED67
0	4EB8C
0	1480F6
0	E570C
0	E4BBD
0	4DA3F
0	75236
0	DFE79
0	E763E
0	146007
0	78D09
0	DCA97
0	482E0
0	143A28
0	7D4C7
0	F305B
0	46CBF
0	142CA9
0	D08B1
0	F6D0E
0	1411B1
0	85F23
0	CC949
0	42B56
0	13D7BD
0	8C7B6
0	1023FF
0	3FF44
0	1387F0
0	C0FE6
0	1069EB
0	13915F
0	94983
0	BC242
0	3F18E
0	133E4E
0	9ADBF
0	10F596
0	3CA1F
0	12DC83
0	B113A
0	113675
0	12E868
0	A47AE
0	AC2E1
0	3D818
0	129B12
0	AA1FA
0	11B6D2
0	3BDD3
0	121A56
0	A1F27
0	11D948
0	1228E1
0	B2A52
0	9CF01
0	3D956
0	11E2A1
0	BAAFF
0	12554E
0	3CB55
0	113A9E
0	94348
0	125AA0
0	115610
0	C503A
0	8FA67
0	3FF29
0	10FE88
0	CB620
0	12DD15
0	40E56
0	10C000
0	8640A
0	12D41E
0	106331
0	D58AB
0	98AB
0	443A0
0	FE9B0
0	40
0	133A4E
0	4515C
0	F7149
0	7A829
0	134313
0	F6BBC
0	E5F2C
0	76674
0	4997D
0	F15BA
0	EB200
0	729FB
0	4CC19
