Marker	Ch1
0	2682D
0	14918
0	62623
0	23EB4
0	274A7
0	648A8
0	17B30
0	239B8
0	1481F
0	63A63
0	22E8F
0	283D8
0	13CF7
0	18B9E
0	223CA
0	13412
0	63535
0	19340
0	28F85
0	129D5
0	1A532
0	21950
0	294D0
0	63A86
0	1B072
0	29F01
0	112AD
0	61E4B
0	20821
0	2A71F
0	63088
0	1C687
0	2B2BD
0	10755
0	6138E
0	1F4EA
0	2AFE7
0	61BA6
0	1DBA3
0	2CC58
0	FCCF
0	61225
0	1E23E
0	2C4EB
0	61375
0	1F3D4
0	2CA78
0	EE9B
0	6016A
0	1D1E5
0	2CEA0
0	60CE5
0	21763
0	1CBF5
0	E7B7
0	5FFA4
0	1C2BB
0	2DDD0
0	E207
0	22C3A
0	1BB3C
0	DD5B
0	5FA22
0	23EBB
0	2FB72
0	D8A8
0	24C0F
0	1AE3F
0	2F3CE
0	5E299
0	2593F
0	2F849
0	C801
0	5BFB7
0	19AEE
0	2FC43
0	5D2A3
0	271C1
0	30648
0	C54B
0	5B7BC
0	18B7D
0	307FE
0	5C618
0	29301
0	317FC
0	C5AE
0	5B6C6
0	17B28
0	31449
0	5AB53
0	2A9C2
0	3175D
0	BE63
0	5A162
0	17019
0	32422
0	5A2CE
0	2D018
0	16570
0	BC37
0	59271
0	15EDB
0	329DB
0	BA5C
0	2E583
0	158E5
0	B98D
0	57DBB
0	2FB79
0	33821
0	B573
0	3046A
0	1492C
0	32F4A
0	568D6
0	31E5D
0	33BB3
0	B4D8
0	324BD
0	1395F
0	33770
0	54D18
0	33F7A
0	34313
0	B820
0	53B7C
0	12EF7
0	33F9C
0	52F02
0	355D3
0	345A0
0	B6B8
0	5254D
0	1212B
0	34E3F
0	51A08
0	378D3
0	346B0
0	B5B3
0	50169
0	114AF
0	35506
0	4FD89
0	39F9E
0	34B0D
0	BB8E
0	4FB2E
0	10BB6
0	36084
0	4E5A2
0	3BDA5
0	3552C
0	BDDA
0	4C3AC
0	10052
0	35D34
0	4D48D
0	3E1D2
0	36852
0	C9DB
0	4C45B
0	FA60
0	36D2A
0	4A954
0	4097C
0	36780
0	CDAD
0	49637
0	ED7C
0	36AA2
0	48FDB
0	421E7
0	36189
0	D326
0	47BD6
0	E2C5
0	36B1E
0	479FE
0	43F04
0	368CE
0	DB09
0	457AA
0	D614
0	36562
0	43E79
0	452BC
0	35C
0	DF11
0	43D13
0	CE59
0	36129
0	42C05
0	470B2
0	CAA9
0	E64E
0	42828
0	CC40
0	36417
0	F0B0
0	4916E
0	C6DB
0	F1EA
0	40CED
0	4AACA
0	35EE8
0	FA78
0	4A16E
0	C505
0	36179
0	3E7FE
0	4BB6F
0	3556F
0	FCE0
0	4BD3F
0	C455
0	363CF
0	3CC02
0	4E0A9
0	3546E
0	1098D
0	4E46E
0	BFFD
0	359D6
0	3AAE9
0	4F45D
0	3541A
0	119AF
0	50143
0	BBD4
0	352CC
0	393C2
0	50B95
0	34F6D
0	12482
0	50A4B
0	BCBE
0	357B8
0	36BD3
0	521AE
0	34A66
0	13522
0	52737
0	BB5D
0	355BA
0	34B8A
0	537DA
0	34291
0	13F5E
0	54186
0	BAAF
0	34B08
0	32B7A
0	55A39
0	3360B
0	14D73
0	55F26
0	B831
0	33297
0	31179
0	56DF7
0	326CB
0	15770
0	57167
0	BEE2
0	33BE7
0	2F842
0	58B45
0	32865
0	16D95
0	57E23
0	B8E8
0	31C22
0	2CEE5
0	58F55
0	31BB7
0	17BBE
0	59997
0	C491
0	32798
0	2B7F0
0	5A83D
0	315DB
0	18A16
0	5A83C
0	C391
0	317F7
0	2975F
0	5BE6C
0	30C65
0	19F88
0	5C6AF
0	CB5D
0	30743
0	28002
0	5CFF9
0	2FF07
0	1A6CC
0	5D13D
0	CFA2
0	2F60A
0	25DFE
0	5D633
0	2F1C2
0	1BAB3
0	5DA97
0	D33F
0	2E850
0	23F9E
0	5D987
0	2E21E
0	1C122
0	5EBAA
0	DC59
0	2E23D
0	22ED1
0	5FBFD
0	2D743
0	1D42E
0	5FB28
0	E3FF
0	2D6D4
0	21122
0	5FBF3
0	2C9A8
0	1E2AC
0	60F1B
0	EF30
0	2C6A9
0	1EE0A
0	601CE
0	2C284
0	1FA9D
0	61D3B
0	FC06
0	2C31F
0	1DCC5
0	61944
0	2AEED
0	20453
0	63064
0	108F9
0	20D7A
0	1C5A6
0	61809
0	29EF1
0	21036
0	63A52
0	112AB
0	21EA9
0	1BBD8
0	6211A
1	3291F
1	D5FF
1	60735
1	1BE55
1	33BE7
1	D504
1	29326
1	1B1B9
1	3C000
1	5F8BA
1	2A034
1	34086
1	CC09
1	5E486
1	19FD8
1	33A7F
1	5EDB4
1	2B881
1	19F1A
1	CAD2
1	5DE56
1	3C000
1	35460
1	C956
1	2CC90
1	189B7
1	3441C
1	5D9ED
1	2DFC2
1	35795
1	C0C7
1	5B526
1	182A7
1	35DA8
1	5C853
1	2F7B9
1	368CA
1	C483
1	5B7CD
1	17655
1	3671E
1	5A649
1	30D7A
1	3763A
1	C2F2
1	5A027
1	16C4A
1	37227
1	59BB5
1	3288C
1	36B72
1	BD7A
1	591EE
1	15A98
1	374B7
1	59043
1	34E0B
1	37F1F
1	C138
1	58099
1	15573
1	37D58
1	57A0E
1	36CA0
1	38374
1	BF77
1	561BA
1	15207
1	39457
1	55F6A
1	38AFC
1	E164
1	C1F1
1	55826
1	13D80
1	39746
1	53F5D
1	3A34B
1	393B1
1	C44E
1	536B8
1	1385C
1	39FA4
1	5353B
1	3CBCF
1	38F26
1	C130
1	5178A
1	12300
1	39EF7
1	51DD7
1	3EB3A
1	11BFB
1	CAE7
1	50AEA
1	1141E
1	398AD
1	4F411
1	3F4EF
1	11217
1	CE07
1	4EF8A
1	10E0D
1	3AB95
1	4ECCE
1	421CE
1	105CD
1	D3B3
1	4D351
1	FFD0
1	3A46F
1	4AD4C
1	42F21
1	FFEE
1	DE47
1	4C096
1	FAB5
1	3B0A7
1	DF5C
1	44566
1	F559
1	DAF0
1	49D32
1	46E38
1	3A7E4
1	E64F
1	4715F
1	F279
1	3B81A
1	47B77
1	48674
1	39CB8
1	E7D9
1	49060
1	E7F2
1	39FA4
1	4704B
1	4A6A8
1	3A55C
1	F5FE
1	459DB
1	E08B
1	3AA35
1	446A2
1	4B1AD
1	3A010
1	FD38
1	C00000
1	E327
1	3B530
1	4225D
1	4C732
1	3A69D
1	1078F
1	4D416
1	D759
1	3A836
1	40E5A
1	4F25D
1	39D0E
1	10F34
1	4F81A
1	D362
1	3A6D0
1	3F2AD
1	50EC0
1	397DE
1	11601
1	50F9C
1	CFE9
1	39AB6
1	3DC42
1	52542
1	39605
1	124C2
1	52389
1	CC10
1	39E6F
1	3B4CB
1	52E58
1	3910D
1	13061
1	54833
1	CC46
1	39FD6
1	3A397
1	54D1F
1	39D79
1	145CB
1	54F7D
1	C6EC
1	39393
1	37AE9
1	56887
1	38488
1	148F3
1	578D0
1	C9D7
1	3955D
1	36175
1	584D6
1	37E23
1	157C6
1	585DD
1	C9F0
1	38A55
1	346A1
1	5960E
1	378A2
1	167D1
1	59C4F
1	C5BF
1	37C6B
1	31856
1	5A5D7
1	37866
1	17D52
1	5B364
1	C9DE
1	37744
1	3069D
1	5C48F
1	361F3
1	184D3
1	5BD30
1	CBD2
1	36DBC
1	2E202
1	5CF1B
1	35A8D
1	193F6
1	5E060
1	CC72
1	35986
1	2C9B2
1	5E816
1	35632
1	1A913
1	5E4A0
1	D0CC
1	35422
1	2AFAD
1	605C7
1	34A6B
1	1B946
1	5FF62
1	D670
1	343E0
1	282D1
1	5F752
1	3391E
1	1C017
1	61C9B
1	E115
1	348FF
1	274D1
1	62210
1	331B6
1	1D5CF
1	6150F
1	E073
1	32D92
1	25DCD
1	63482
1	32F63
1	1F09F
1	63044
1	EA11
1	32285
1	23694
1	61AD5
1	31225
1	1EA08
1	6387A
1	F10E
1	31924
1	22FEF
1	6430F
1	3064F
1	1FEAD
1	651E5
1	FA33
1	2FEA8
1	20BFD
1	64045
1	2FBE4
1	21560
1	6587D
1	104C6
1	21D89
1	1FE77
1	64B0C
1	2EE74
1	21D98
1	66144
1	10EC2
1	23AE9
1	1EA01
1	C00000
1	2F486
1	247CD
1	672CE
1	12318
1	24380
1	1CA80
1	124C8
1	2C22B
1	22E33
1	66E88
1	12669
1	24316
1	1BA6C
1	1332C
1	2BF4E
1	2528F
1	66FC4
1	135B9
1	25F27
1	1ABDE
1	13DB6
1	2AE8D
1	2572D
1	66989
1	139F0
1	26244
1	19092
1	142D9
1	2A298
1	19464
1	678D3
1	1517A
1	272F8
1	182A7
1	15931
1	28D31
1	17BF7
1	66C49
1	15CF1
1	28114
1	17BBE
1	16EAD
1	27B8C
1	17A37
1	688E7
1	17258
1	29789
1	16634
1	17E11
1	26DB7
1	15D47
1	67924
1	18612
0	B5DF
0	560CE
0	2CEF8
0	2F421
0	B476
0	554F2
0	146BC
0	30496
0	B414
0	2E356
0	13757
0	B1EF
0	53C51
0	2EB61
0	3001C
0	AE0A
0	52655
0	12820
0	2FCD0
0	52757
0	30125
0	12212
0	AD09
0	5208B
0	11B98
0	2FE43
0	AAF5
0	31090
0	1156D
0	A728
0	50B45
0	31F65
0	30747
0	ABF5
0	3361F
0	11627
0	3152C
0	4FE91
0	341E0
0	31780
0	AF51
0	34855
0	1044E
0	30BD7
0	4E0B9
0	3595A
0	316E7
0	B1CF
0	36329
0	FE9A
0	314CE
0	4CD5F
0	36AA2
0	30B8C
0	B06A
0	37823
0	F18F
0	30C96
0	4BAD5
0	3877E
0	316A0
0	B329
0	4E000
0	E8A0
0	31404
0	4B4C9
0	3A928
0	30EBA
0	B36C
0	4946D
0	E1D0
0	31965
0	48ADA
0	3BFCD
0	31F83
0	BC78
0	47D93
0	DC76
0	32173
0	476C7
0	3DE7E
0	32299
0	C114
0	45BCF
0	D6A9
0	3282C
0	45ABE
0	3F1B8
0	31E0B
0	C5A7
0	4559B
0	CCF2
0	325E7
0	43CC9
0	412C0
0	380000
0	CF0E
0	43F96
0	C19D
0	31D70
0	417C0
0	425BF
0	BF21
0	D460
0	41EA6
0	BE53
0	32718
0	1C0000
0	43FCA
0	BA57
0	DB43
0	405CD
0	B810
0	31C46
0	DCC3
0	44F14
0	B52A
0	0
0	3E883
0	4720D
0	30FCD
0	E0AE
0	47109
0	B690
0	31DAB
0	3D3B5
0	4823D
0	312AB
0	E93B
0	3C374
0	B0C3
0	319C8
0	3A8FC
0	493A7
0	313B3
0	F2E2
0	3AA9B
0	AC18
0	316F6
0	38DF2
0	4B4F7
0	313F2
0	FE8F
0	37FFC
0	A987
0	30E4F
0	36662
0	4CA55
0	307E7
0	1068A
0	373F0
0	A880
0	30DC0
0	34EDE
0	4D25E
0	30D4D
0	1170E
0	35D04
0	AA38
0	30FA1
0	33931
0	4F573
0	3079A
0	1238F
0	3383B
0	A995
0	303D2
0	31CDE
0	506EE
0	2FB88
0	12B1C
0	328DE
0	A86C
0	2FD3F
0	2FD3B
0	51848
0	2F5AD
0	13639
0	30452
0	AB30
0	2FC72
0	2EAC5
0	52D3D
0	2F17D
0	145E7
0	2EDDE
0	AD76
0	2F4ED
0	2D4C0
0	541A1
0	2F2CC
0	15662
0	2D194
0	AFFE
0	2E449
0	2BBE5
0	554C3
0	2DDD5
0	15787
0	2B97B
0	AF8B
0	2DF8A
0	2A54C
0	56E42
0	2DA36
0	1685E
0	2A28E
0	B47F
0	2D65E
0	28EC5
0	577FA
0	2DBF7
0	17BA5
0	291F2
0	BA7F
0	2D158
0	26B8E
0	584E8
0	2C3E5
0	18003
0	27660
0	C112
0	2C4EE
0	25D95
0	594A2
0	2C1B9
0	19265
0	25A36
0	C5BD
0	2B94B
0	24A6B
0	5A533
0	2BE33
0	1A5C7
0	23EC9
0	CC23
0	2B63B
0	22C67
0	5A7C4
0	2AFDD
0	1A9CF
0	22B46
0	D594
0	2A818
0	21F8F
0	5C67A
0	2A1E6
0	1B3A9
0	21474
0	DBD7
0	2A399
0	20B93
0	5D53A
0	29486
0	1C535
0	201EE
0	E695
0	295DC
0	1FBC4
0	5DC42
0	28B10
0	1D2BD
0	1F1C1
0	ED75
0	287D3
0	1E3D0
0	5E0CB
0	28733
0	1E2F5
0	1DFB6
0	F223
0	280ED
0	1D589
0	5EF89
0	273A0
0	1ECDB
0	1C7C2
0	10474
0	274B2
0	1C155
0	5F703
0	26F8B
0	1FBDB
0	1BE02
0	10D91
0	26751
0	1A995
0	5FEC0
0	25C70
0	20845
0	1A5EE
0	11AD8
0	25E18
0	19DF3
0	60B91
0	2599E
0	21CAB
0	19326
0	12861
0	2496D
0	184BA
0	60A5C
0	2449C
0	22340
0	17E5B
0	137B8
0	244D4
0	177DA
0	60978
0	2351A
0	22A51
0	16E5B
0	140DD
0	23885
0	163F6
0	610B9
0	23298
0	24895
0	6104D
0	1521E
0	22B05
0	15917
0	612A2
0	22608
0	25019
0	60EC6
0	16385
0	21C2F
0	13E35
0	60502
0	21561
0	25692
0	617BA
0	17292
0	20F11
0	13AC7
0	61302
0	208F8
0	263B1
0	6132B
0	18166
0	20462
0	121E0
0	5FE27
0	1FE27
0	27245
0	60836
0	194E9
0	1FE1A
0	11ED0
0	5F9D8
0	1EF8D
1	D97E
1	5F923
1	25D5D
1	305BE
1	D3E9
1	5E4D0
1	1A945
1	307FF
1	C00000
1	26EB8
1	19F04
1	CFCF
1	5E63D
1	2782D
1	3156D
1	CA05
1	28168
1	19675
1	31803
1	5E14F
1	2905A
1	31D75
1	C82E
1	5C50E
1	194CA
1	32369
1	C86E
1	2A42B
1	18516
1	C4F0
1	5BE6D
1	2AA9A
1	32CBD
1	C305
1	2C041
1	1787F
1	C0F8
1	5BCBE
1	2D1FA
1	33A2A
1	BFC2
1	59D86
1	17239
1	336C3
1	5A228
1	2E649
1	33925
1	BD82
1	59A1A
1	166E7
1	347C1
1	58992
1	2FB7B
1	34504
1	BDE5
1	58DC6
1	1561F
1	34063
1	58396
1	317D4
1	34B7B
1	B9E7
1	56B3B
1	15553
1	35672
1	57836
1	32BF0
1	34B8F
1	B794
1	56066
1	14542
1	35864
1	5586C
1	344BC
1	3595B
1	BBE3
1	5594B
1	1419C
1	36023
1	55165
1	35D89
1	3559B
1	B81D
1	53A30
1	12FCB
1	35E93
1	5357D
1	372F7
1	36878
1	BE9B
1	53519
1	1285A
1	36504
1	5230A
1	3862C
1	35C85
1	B92E
1	51B4E
1	124BA
1	36B5A
1	521B8
1	3A5FA
1	36E42
1	C082
1	50576
1	1198E
1	36E1B
1	4FEE1
1	3BAEA
1	370CC
1	C40F
1	4F986
1	10DFD
1	371BF
1	4E755
1	3CBAA
1	37549
1	C65F
1	4DD4D
1	10A79
1	374FA
1	4D95A
1	3EF47
1	37544
1	C8E2
1	4CC41
1	1006A
1	37574
1	4C424
1	4035C
1	36F77
1	CB10
1	4B840
1	FA5D
1	37D2A
1	4A6F9
1	41328
1	37798
1	D257
1	4A28F
1	ECD7
1	37AFC
1	49357
1	42FE8
1	375DA
1	D761
1	482BB
1	E4F3
1	3814C
1	47154
1	44B5C
1	36DC3
1	D8BF
1	46A2B
1	DC0B
1	37ADC
1	4557B
1	45E47
1	D7BD
1	E336
1	4550F
1	D213
1	36F48
1	433EA
1	47918
1	D57C
1	EC91
1	43EF2
1	CF28
1	370A1
1	EB4C
1	48C91
1	CD8E
1	EAAB
1	41F38
1	4A2D7
1	37168
1	F8F4
1	4A17E
1	C8D7
1	36C31
1	40900
1	4ADED
1	36A73
1	FC4B
1	4B70F
1	CA35
1	370E9
1	3F08B
1	4C629
1	365A0
1	10321
1	4C5BD
1	C4CA
1	36C25
1	3D5E8
1	4E478
1	36491
1	1101D
1	4E72D
1	C179
1	35DD5
1	3B70D
1	4ECF1
1	35CA6
1	115CB
1	500BA
1	C05E
1	35F05
1	3A5CD
1	50E1A
1	349DD
1	11754
1	503FB
1	B931
1	35971
1	3845F
1	51722
1	34BF3
1	12607
1	51B4D
