Marker	Ch1
1       16B05
1       21102
1       4C446
1       162EA
1       6E404
1       4763E
1       7442E
1       6D53B
1       2577C
1       45D8E
1       1534B
1       6C76F
1       41CC3
1       79305
1       6B311
1       2A072
1       3F4E2
1       14E34
1       6A690
1       3ADBC
1       7DE5C
1       68944
1       2EC70
1       80711
1       1526D
1       67964
1       351B6
1       81AA2
1       65798
1       340C3
1       83762
1       15C11
1       64441
1       303ED
1       85FF6
1       618A3
1       3899E
1       87344
1       17439
1       60005
1       2AB03
1       8793E
1       5DB89
1       3E0BE
1       89B30
1       1928D
1       4131C
1       25FFE
1       89C4F
1       5908C
1       42D8E
1       8A5A1
1       1B7C4
1       4665A
1       21A82
1       1D36F
1       54929
1       47EEB
1       8AEFE
1       1E93E
1       4B7A0
1       1DB9B
1       20C93
1       4FF57
1       4D72C
1       8B07D
1       2236A
1       5090E
1       1A6D9
1       247A8
1       4AA81
1       516E6
1       89D7A
1       2646F
1       554BD
1       17779
1       29728
1       45ACE
1       164BE
1       883F7
1       2B137
1       59D75
1       1556B
1       2E133
1       40981
1       14209
1       857A8
1       3044A
1       5E25F
1       13903
1       335AD
1       3B28A
1       12A1E
1       8252A
1       39381
1       62550
1       125DA
1       3905B
1       3642B
1       11CA7
1       7E70F
1       33D7D
1       65F42
1       11D21
1       3FC13
1       31575
1       11951
1       79C08
1       2FAB5
1       697AC
1       11BED
1       4609E
1       2C810
1       12005
1       75086
1       2AE09
1       6C41F
1       72B09
1       4C9F3
1       28337
1       12AEA
1       6F9BC
1       25D95
1       6DEBE
1       6CFDE
1       52C0C
1       23CE8
1       13DF9
1       6A1FE
1       2277A
1       6FCE9
1       671E2
1       59180
1       1FC2C
1       15BAD
1       640B6
1       1DF26
1       6FE00
1       60B47
1       5EE99
1       1C49F
1       18699
1       5DC5D
1       1B292
1       704C5
1       5A9F9
1       6517F
1       6FF61
1       1B482
1       57693
1       18CDF
1       6FEF8
1       5418B
1       6AE7E
1       6F8F7
1       1E94F
1       510E2
1       17173
1       6F427
1       4DCD7
1       7142A
1       6E5D0
1       2206E
1       4A82F
1       1600C
1       6EBBD
1       4753F
1       766D3
1       6CCDB
1       2659B
1       77E93
1       152BC
1       6CC65
1       40FEE
1       7A8A1
1       6A83A
1       2ADF1
1       7C788
1       14EAE
1       6A4F6
1       3AAF9
1       7F400
1       67B38
1       2FD1A
1       80862
1       15361
1       32B20
1       34D90
1       8390D
1       642C4
1       34964
1       8413E
1       15ED6
1       37B36
1       2F03A
1       C00000
1       60481
1       39884
1       873FD
1       178A3
0       36FD3
0       638DB
0       12088
0       3B2C2
0       34558
0       11B67
0       7D5AD
0       3F0D8
0       6764F
0       11AD7
0       41572
0       2F2DC
0       67C16
0       782EF
0       4575A
0       6A79C
0       12105
0       75634
0       2A8DB
0       6B6CE
0       7318E
0       4C00A
0       28031
0       12D37
0       6F971
0       2651F
0       6E37E
0       1359B
0       5250C
0       23B73
0       143AB
0       6A842
0       56D43
0       6F599
0       151AC
0       58D34
0       1FF47
0       15E17
0       63F58
0       5D288
0       70001
0       1789F
0       5F6E6
0       1CB45
0       18228
0       5D853
0       640F9
0       7037A
0       1A476
0       65B90
0       19EDA
0       1B731
0       56FA0
0       6A52D
0       6F8D6
0       1D1F4
0       6BE01
0       17BC5
0       1EE95
0       503B5
0       6F7BD
0       6EF3F
0       21074
0       71636
0       16219
0       233FD
0       498C9
0       750D8
0       6D915
0       25447
0       76B0C
0       1531D
0       277B9
0       42E88
0       152BA
0       6B08B
0       296F7
0       7B8FC
0       14B43
0       2C4E4
0       3C68F
0       14FDD
0       689C3
0       1
0       7FC55
0       15000
0       31C95
0       3612B
0       15A2C
0       64A42
0       33133
0       836E6
0       15BEB
0       367F4
0       30288
0       16A75
0       61598
0       38C4E
0       86CE8
0       171D3
0       3C2AC
0       2AAD9
0       188D4
0       5D083
0       3E133
0       89AB1
0       19324
0       414A4
0       25C41
0       1A91F
0       583CA
0       2425A
0       8B193
0       1BCF7
0       467AA
0       21F2A
0       1D8F6
0       53858
0       1FC46
0       8B921
0       1EF92
0       4C3DC
0       1DE3F
0       20F1C
0       4EC81
0       1BD5B
0       8B05A
0       22EBF
0       51406
0       1A210
0       2578E
0       49738
0       18834
0       89F59
0       47A96
0       55F43
0       17107
0       2A6E8
0       4474A
0       15D2A
0       87A85
0       4379D
0       5ACE0
0       14C4C
0       2F272
0       3F27B
0       13CB2
0       84E73
0       3D8C6
0       5F59B
0       13261
0       34A47
0       39C98
0       126CA
0       815C2
0       379ED
0       63532
0       7FDA0
0       3AFB2
